Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2023-01-03,10:15:00,1012.5,Open,LONG,1012.5,40000000.0,
2023-01-04,10:55:00,1047.4,Close,None,1047.4,43443000.0,3443000.0
2023-01-05,09:05:00,1047.0,Open,LONG,1047.0,43443000.0,
2023-01-05,10:50:00,1047.8,Close,None,1047.8,43476000.0,3476000.0
2023-01-05,13:50:00,1055.0,Open,LONG,1055.0,43476000.0,
2023-01-06,09:00:00,1051.4,Close,None,1051.4,43069000.0,3069000.0
2023-01-06,09:55:00,1057.8,Open,LONG,1057.8,43069000.0,
2023-01-06,13:20:00,1059.4,Close,None,1059.4,43182000.0,3182000.0
2023-01-06,13:45:00,1056.5,Open,SHORT,1056.5,43182000.0,
2023-01-09,09:00:00,1060.0,Close,None,1060.0,42785000.0,2785000.0
2023-01-09,09:25:00,1059.9,Open,LONG,1059.9,42785000.0,
2023-01-09,09:45:00,1057.6,Close,None,1057.6,42508000.0,2508000.0
2023-01-09,10:30:00,1062.7,Open,LONG,1062.7,42508000.0,
2023-01-09,10:40:00,1059.7,Close,None,1059.7,42161000.0,2161000.0
2023-01-09,13:55:00,1053.7,Open,SHORT,1053.7,42161000.0,
2023-01-09,14:05:00,1056.0,Close,None,1056.0,41884000.0,1884000.0
2023-01-09,14:20:00,1050.9,Open,SHORT,1050.9,41884000.0,
2023-01-10,09:00:00,1055.0,Close,None,1055.0,41427000.0,1427000.0
2023-01-10,10:05:00,1053.0,Open,SHORT,1053.0,41427000.0,
2023-01-10,13:05:00,1052.5,Close,None,1052.5,41430000.0,1430000.0
2023-01-10,13:45:00,1059.2,Open,LONG,1059.2,41430000.0,
2023-01-10,14:00:00,1054.7,Close,None,1054.7,40933000.0,933000.0
2023-01-11,09:00:00,1062.6,Open,LONG,1062.6,40933000.0,
2023-01-11,13:40:00,1065.8,Close,None,1065.8,41206000.0,1206000.0
2023-01-12,09:25:00,1066.8,Open,LONG,1066.8,41206000.0,
2023-01-12,10:05:00,1066.3,Close,None,1066.3,41109000.0,1109000.0
2023-01-12,10:10:00,1064.6,Open,SHORT,1064.6,41109000.0,
2023-01-12,14:00:00,1062.4,Close,None,1062.4,41282000.0,1282000.0
2023-01-13,09:05:00,1071.5,Open,LONG,1071.5,41282000.0,
2023-01-13,11:15:00,1069.8,Close,None,1069.8,41065000.0,1065000.0
2023-01-13,13:20:00,1068.6,Open,SHORT,1068.6,41065000.0,
2023-01-13,13:35:00,1070.6,Close,None,1070.6,40818000.0,818000.0
2023-01-16,09:25:00,1072.3,Open,LONG,1072.3,40818000.0,
2023-01-16,09:50:00,1069.4,Close,None,1069.4,40481000.0,481000.0
2023-01-16,10:20:00,1065.8,Open,SHORT,1065.8,40481000.0,
2023-01-16,10:55:00,1068.2,Close,None,1068.2,40194000.0,194000.0
2023-01-16,11:05:00,1069.9,Open,LONG,1069.9,40194000.0,
2023-01-16,13:10:00,1068.3,Close,None,1068.3,39987000.0,-13000.00000000003
2023-01-16,14:25:00,1073.7,Open,LONG,1073.7,39987000.0,
2023-01-17,13:55:00,1087.2,Close,None,1087.2,41290000.0,1290000.0
2023-01-17,14:15:00,1098.9,Open,LONG,1098.9,41290000.0,
2023-01-18,13:40:00,1110.4,Close,None,1110.4,42393000.0,2393000.0
2023-01-18,13:55:00,1116.5,Open,LONG,1116.5,42393000.0,
2023-01-18,14:05:00,1114.1,Close,None,1114.1,42106000.0,2106000.0
2023-01-19,10:05:00,1122.1,Open,LONG,1122.1,42106000.0,
2023-01-19,10:55:00,1119.4,Close,None,1119.4,41789000.0,1789000.0
2023-01-19,13:50:00,1119.9,Open,LONG,1119.9,41789000.0,
2023-01-27,09:00:00,1139.4,Close_Future_Expired,None,1139.4,43692000.0,1950000.0
2023-01-27,10:30:00,1138.2,Open,SHORT,1138.2,43692000.0,
2023-01-27,10:35:00,1140.2,Close,None,1140.2,43445000.0,1703000.0
2023-01-27,11:10:00,1141.8,Open,LONG,1141.8,43445000.0,
2023-01-27,13:00:00,1140.7,Close,None,1140.7,43288000.0,1546000.0
2023-01-27,13:50:00,1137.1,Open,SHORT,1137.1,43288000.0,
2023-01-30,13:15:00,1125.3,Close,None,1125.3,44421000.0,2679000.0
2023-01-30,13:35:00,1122.5,Open,SHORT,1122.5,44421000.0,
2023-01-30,13:55:00,1124.8,Close,None,1124.8,44144000.0,2402000.0
2023-01-30,14:05:00,1119.0,Open,SHORT,1119.0,44144000.0,
2023-01-31,13:35:00,1104.4,Close,None,1104.4,45557000.0,3815000.0
2023-01-31,13:45:00,1109.5,Open,LONG,1109.5,45557000.0,
2023-02-01,10:40:00,1116.8,Close,None,1116.8,46240000.0,4498000.0
2023-02-01,10:50:00,1113.9,Open,SHORT,1113.9,46240000.0,
2023-02-01,11:10:00,1116.4,Close,None,1116.4,45943000.0,4201000.0
2023-02-01,11:25:00,1113.5,Open,SHORT,1113.5,45943000.0,
2023-02-01,13:15:00,1116.0,Close,None,1116.0,45646000.0,3904000.0
2023-02-01,13:45:00,1121.6,Open,LONG,1121.6,45646000.0,
2023-02-01,13:50:00,1114.8,Close,None,1114.8,44919000.0,3177000.0
2023-02-02,09:10:00,1092.0,Open,SHORT,1092.0,44919000.0,
2023-02-02,11:10:00,1094.4,Close,None,1094.4,44632000.0,2890000.0
2023-02-02,11:20:00,1095.1,Open,LONG,1095.1,44632000.0,
2023-02-02,13:15:00,1089.5,Close,None,1089.5,44025000.0,2283000.0
2023-02-03,09:05:00,1089.0,Open,SHORT,1089.0,44025000.0,
2023-02-03,10:30:00,1090.6,Close,None,1090.6,43818000.0,2076000.0
2023-02-03,10:45:00,1088.7,Open,SHORT,1088.7,43818000.0,
2023-02-03,13:00:00,1090.0,Close,None,1090.0,43641000.0,1899000.0
2023-02-03,13:25:00,1087.2,Open,SHORT,1087.2,43641000.0,
2023-02-06,10:50:00,1077.6,Close,None,1077.6,44554000.0,2812000.0
2023-02-06,11:15:00,1081.0,Open,LONG,1081.0,44554000.0,
2023-02-06,13:35:00,1079.1,Close,None,1079.1,44317000.0,2575000.0
2023-02-07,09:05:00,1089.8,Open,LONG,1089.8,44317000.0,
2023-02-07,09:25:00,1087.8,Close,None,1087.8,44070000.0,2328000.0
2023-02-07,09:45:00,1090.9,Open,LONG,1090.9,44070000.0,
2023-02-07,10:30:00,1088.9,Close,None,1088.9,43823000.0,2081000.0
2023-02-07,10:50:00,1087.0,Open,SHORT,1087.0,43823000.0,
2023-02-08,10:15:00,1074.6,Close,None,1074.6,45016000.0,3274000.0
2023-02-08,10:25:00,1075.8,Open,LONG,1075.8,45016000.0,
2023-02-08,10:50:00,1073.0,Close,None,1073.0,44689000.0,2947000.0
2023-02-08,10:55:00,1072.5,Open,SHORT,1072.5,44689000.0,
2023-02-08,13:30:00,1071.8,Close,None,1071.8,44712000.0,2970000.0
2023-02-08,14:00:00,1077.7,Open,LONG,1077.7,44712000.0,
2023-02-08,14:20:00,1072.8,Close,None,1072.8,44175000.0,2433000.0
2023-02-09,09:00:00,1068.0,Open,SHORT,1068.0,44175000.0,
2023-02-09,10:15:00,1069.0,Close,None,1069.0,44028000.0,2286000.0
2023-02-09,13:45:00,1070.8,Open,LONG,1070.8,44028000.0,
2023-02-09,14:10:00,1068.0,Close,None,1068.0,43701000.0,1959000.0
2023-02-10,09:05:00,1057.7,Open,SHORT,1057.7,43701000.0,
2023-02-13,14:15:00,1033.9,Close,None,1033.9,46034000.0,4292000.0
2023-02-14,09:00:00,1039.4,Open,LONG,1039.4,46034000.0,
2023-02-14,09:20:00,1037.0,Close,None,1037.0,45747000.0,4005000.0
2023-02-14,10:10:00,1037.4,Open,LONG,1037.4,45747000.0,
2023-02-14,10:20:00,1035.3,Close,None,1035.3,45490000.0,3748000.0
2023-02-14,13:25:00,1033.0,Open,SHORT,1033.0,45490000.0,
2023-02-14,13:35:00,1035.3,Close,None,1035.3,45213000.0,3471000.0
2023-02-15,09:50:00,1035.7,Open,LONG,1035.7,45213000.0,
2023-02-15,13:25:00,1040.5,Close,None,1040.5,45646000.0,3904000.0
2023-02-15,14:05:00,1035.3,Open,SHORT,1035.3,45646000.0,
2023-02-16,09:00:00,1042.9,Close,None,1042.9,44839000.0,3097000.0
2023-02-16,09:10:00,1044.8,Open,LONG,1044.8,44839000.0,
2023-02-16,13:00:00,1043.8,Close,None,1043.8,44692000.0,2950000.0
2023-02-16,13:55:00,1044.2,Open,LONG,1044.2,44692000.0,
2023-02-17,09:00:00,1051.2,Close_Future_Expired,None,1051.2,45345000.0,700000.0
2023-02-17,10:30:00,1045.9,Open,SHORT,1045.9,45345000.0,
2023-02-17,13:35:00,1047.5,Close,None,1047.5,45138000.0,493000.0
2023-02-17,14:00:00,1043.6,Open,SHORT,1043.6,45138000.0,
2023-02-17,14:10:00,1046.8,Close,None,1046.8,44771000.0,126000.0
2023-02-17,14:20:00,1047.8,Open,LONG,1047.8,44771000.0,
2023-02-21,11:00:00,1083.8,Close,None,1083.8,48324000.0,3679000.0
2023-02-21,13:25:00,1082.7,Open,SHORT,1082.7,48324000.0,
2023-02-21,13:30:00,1086.3,Close,None,1086.3,47917000.0,3272000.0
2023-02-22,09:00:00,1065.0,Open,SHORT,1065.0,47917000.0,
2023-02-22,09:30:00,1067.7,Close,None,1067.7,47600000.0,2955000.0
2023-02-22,10:30:00,1066.7,Open,SHORT,1066.7,47600000.0,
2023-02-22,13:40:00,1066.5,Close,None,1066.5,47573000.0,2928000.0
2023-02-22,14:05:00,1068.0,Open,LONG,1068.0,47573000.0,
2023-02-22,14:15:00,1065.4,Close,None,1065.4,47266000.0,2621000.0
2023-02-23,09:25:00,1044.0,Open,SHORT,1044.0,47266000.0,
2023-02-23,14:20:00,1036.5,Close,None,1036.5,47969000.0,3324000.0
2023-02-24,09:00:00,1046.2,Open,LONG,1046.2,47969000.0,
2023-02-24,09:10:00,1043.4,Close,None,1043.4,47642000.0,2997000.0
2023-02-24,10:05:00,1037.9,Open,SHORT,1037.9,47642000.0,
2023-02-24,14:20:00,1032.2,Close,None,1032.2,48165000.0,3520000.0
2023-02-27,09:00:00,1017.4,Open,SHORT,1017.4,48165000.0,
2023-02-27,13:00:00,1007.0,Close,None,1007.0,49158000.0,4513000.0
2023-02-28,09:10:00,1019.2,Open,LONG,1019.2,49158000.0,
2023-02-28,09:30:00,1016.7,Close,None,1016.7,48861000.0,4216000.0
2023-02-28,10:35:00,1021.4,Open,LONG,1021.4,48861000.0,
2023-02-28,11:05:00,1019.3,Close,None,1019.3,48604000.0,3959000.0
2023-02-28,13:05:00,1016.3,Open,SHORT,1016.3,48604000.0,
2023-03-01,10:20:00,1006.1,Close,None,1006.1,49577000.0,4932000.0
2023-03-01,10:30:00,1008.8,Open,LONG,1008.8,49577000.0,
2023-03-02,10:20:00,1030.0,Close,None,1030.0,51650000.0,7005000.0
2023-03-02,10:55:00,1024.7,Open,SHORT,1024.7,51650000.0,
2023-03-02,11:25:00,1027.9,Close,None,1027.9,51283000.0,6638000.0
2023-03-02,14:20:00,1029.5,Open,LONG,1029.5,51283000.0,
2023-03-02,14:25:00,1024.7,Close,None,1024.7,50756000.0,6111000.0
2023-03-03,09:05:00,1031.3,Open,LONG,1031.3,50756000.0,
2023-03-03,09:35:00,1028.2,Close,None,1028.2,50399000.0,5754000.0
2023-03-03,10:10:00,1025.1,Open,SHORT,1025.1,50399000.0,
2023-03-03,13:55:00,1020.6,Close,None,1020.6,50802000.0,6157000.0
2023-03-06,09:25:00,1026.0,Open,LONG,1026.0,50802000.0,
2023-03-06,13:25:00,1027.6,Close,None,1027.6,50915000.0,6270000.0
2023-03-06,13:35:00,1025.8,Open,SHORT,1025.8,50915000.0,
2023-03-07,09:00:00,1020.4,Close,None,1020.4,51408000.0,6763000.0
2023-03-07,09:15:00,1029.0,Open,LONG,1029.0,51408000.0,
2023-03-07,10:30:00,1027.5,Close,None,1027.5,51211000.0,6566000.0
2023-03-07,11:10:00,1026.6,Open,SHORT,1026.6,51211000.0,
2023-03-07,13:20:00,1028.9,Close,None,1028.9,50934000.0,6289000.0
2023-03-07,13:25:00,1029.6,Open,LONG,1029.6,50934000.0,
2023-03-07,13:40:00,1027.4,Close,None,1027.4,50667000.0,6022000.0
2023-03-07,14:10:00,1034.1,Open,LONG,1034.1,50667000.0,
2023-03-07,14:15:00,1027.7,Close,None,1027.7,49980000.0,5335000.0
2023-03-07,14:25:00,1020.0,Open,SHORT,1020.0,49980000.0,
2023-03-08,10:20:00,1020.7,Close,None,1020.7,49863000.0,5218000.0
2023-03-08,13:30:00,1023.8,Open,LONG,1023.8,49863000.0,
2023-03-09,10:10:00,1036.9,Close,None,1036.9,51126000.0,6481000.0
2023-03-09,11:25:00,1042.0,Open,LONG,1042.0,51126000.0,
2023-03-10,09:00:00,1042.0,Close,None,1042.0,51079000.0,6434000.0
2023-03-10,09:20:00,1042.0,Open,SHORT,1042.0,51079000.0,
2023-03-10,10:10:00,1042.7,Close,None,1042.7,50962000.0,6317000.0
2023-03-10,11:00:00,1037.9,Open,SHORT,1037.9,50962000.0,
2023-03-10,13:05:00,1040.4,Close,None,1040.4,50665000.0,6020000.0
2023-03-10,13:55:00,1044.0,Open,LONG,1044.0,50665000.0,
2023-03-10,14:05:00,1041.3,Close,None,1041.3,50348000.0,5703000.0
2023-03-10,14:15:00,1037.1,Open,SHORT,1037.1,50348000.0,
2023-03-10,14:20:00,1041.0,Close,None,1041.0,49911000.0,5266000.0
2023-03-13,09:00:00,1045.5,Open,LONG,1045.5,49911000.0,
2023-03-13,13:15:00,1049.9,Close,None,1049.9,50304000.0,5659000.0
2023-03-13,13:35:00,1047.9,Open,SHORT,1047.9,50304000.0,
